日期,商品名称,分类,单价,销量,销售额,成本,利润
2025-05-06,香薰蜡烛,家居,352.76,12,4233.12,2084.76,2148.36
2025-05-06,桌布套装,家居,42.65,2,85.3,57.98,27.32
2025-05-07,碎花连衣裙,女装,413.65,32,13236.8,8006.76,5230.04
2025-05-07,牛仔短裙,女装,483.28,48,23197.44,10421.78,12775.66
2025-05-07,雪纺衬衫,女装,147.26,13,1914.38,1133.18,781.2
2025-05-07,保湿面霜,美妆,276.08,44,12147.52,4102.02,8045.5
2025-05-07,防晒喷雾,美妆,354.27,47,16650.69,6763.65,9887.04
2025-05-07,口红套装,美妆,347.56,28,9731.68,4225.81,5505.87
2025-05-07,卸妆油,美妆,405.32,29,11754.28,6815.7,4938.58
2025-05-07,无线蓝牙耳机,数码,354.86,19,6742.34,2285.79,4456.55
2025-05-07,手机支架,数码,416.53,24,9996.72,4945.19,5051.53
2025-05-07,USB-C 数据线,数码,108.96,37,4031.52,2248.9,1782.62
2025-05-07,屏幕清洁套装,数码,405.67,2,811.34,448.99,362.35
2025-05-07,遮光窗帘,家居,188.33,8,1506.64,506.04,1000.6
2025-05-07,收纳箱三件套,家居,269.75,8,2158.0,1172.41,985.59
2025-05-07,桌布套装,家居,199.21,15,2988.15,1061.52,1926.63
2025-05-08,碎花连衣裙,女装,88.16,42,3702.72,1182.33,2520.39
2025-05-08,高腰阔腿裤,女装,60.65,38,2304.7,744.88,1559.82
2025-05-08,针织开衫,女装,33.19,28,929.32,434.24,495.08
2025-05-08,雪纺衬衫,女装,43.67,37,1615.79,564.75,1051.04
2025-05-08,防晒喷雾,美妆,474.64,37,17561.68,9381.74,8179.94
2025-05-08,卸妆油,美妆,79.59,27,2148.93,768.68,1380.25
2025-05-08,快充充电器,数码,410.82,12,4929.84,1682.17,3247.67
2025-05-08,手机支架,数码,106.12,7,742.84,385.61,357.23
2025-05-08,遮光窗帘,家居,222.38,21,4669.98,2270.73,2399.25
2025-05-08,收纳箱三件套,家居,190.37,16,3045.92,1881.62,1164.3
2025-05-08,香薰蜡烛,家居,133.39,37,4935.43,2073.37,2862.06
2025-05-08,桌布套装,家居,181.59,29,5266.11,2186.36,3079.75
2025-05-09,高腰阔腿裤,女装,76.27,46,3508.42,1113.96,2394.46
2025-05-09,牛仔短裙,女装,260.58,26,6775.08,3772.01,3003.07
2025-05-09,雪纺衬衫,女装,234.77,32,7512.64,3976.06,3536.58
2025-05-09,保湿面霜,美妆,210.3,32,6729.6,2649.26,4080.34
2025-05-09,眼线笔,美妆,452.5,25,11312.5,6678.91,4633.59
2025-05-09,卸妆油,美妆,62.13,5,310.65,141.21,169.44
2025-05-09,无线蓝牙耳机,数码,67.25,4,269.0,117.12,151.88
2025-05-09,快充充电器,数码,256.33,42,10765.86,5455.32,5310.54
2025-05-09,USB-C 数据线,数码,309.26,35,10824.1,7343.29,3480.81
2025-05-09,屏幕清洁套装,数码,109.02,38,4142.76,1998.9,2143.86
2025-05-09,乳胶枕头,家居,230.89,36,8312.04,3679.56,4632.48
2025-05-09,遮光窗帘,家居,80.46,49,3942.54,2131.04,1811.5
2025-05-09,收纳箱三件套,家居,167.19,23,3845.37,2614.85,1230.52
2025-05-09,香薰蜡烛,家居,259.26,13,3370.38,1427.41,1942.97
2025-05-09,桌布套装,家居,152.91,43,6575.13,2160.38,4414.75
2025-05-10,碎花连衣裙,女装,196.06,9,1764.54,660.75,1103.79
2025-05-10,高腰阔腿裤,女装,179.09,30,5372.7,3542.32,1830.38
2025-05-10,牛仔短裙,女装,314.08,3,942.24,557.12,385.12
2025-05-10,保湿面霜,美妆,476.37,28,13338.36,4840.0,8498.36
2025-05-10,眼线笔,美妆,463.06,38,17596.28,5724.62,11871.66
2025-05-10,卸妆油,美妆,397.95,7,2785.65,1859.65,926.0
2025-05-10,手机支架,数码,446.44,50,22322.0,9078.21,13243.79
2025-05-10,乳胶枕头,家居,111.75,1,111.75,72.83,38.92
2025-05-10,收纳箱三件套,家居,253.48,2,506.96,200.09,306.87
2025-05-10,香薰蜡烛,家居,427.6,39,16676.4,5028.77,11647.63
2025-05-10,桌布套装,家居,110.87,13,1441.31,622.77,818.54
2025-05-11,碎花连衣裙,女装,223.01,37,8251.37,2524.37,5727.0
2025-05-11,高腰阔腿裤,女装,253.28,18,4559.04,2559.39,1999.65
2025-05-11,牛仔短裙,女装,173.97,16,2783.52,1895.46,888.06
2025-05-11,雪纺衬衫,女装,190.16,27,5134.32,3306.83,1827.49
2025-05-11,保湿面霜,美妆,200.08,19,3801.52,2397.77,1403.75
2025-05-11,眼线笔,美妆,190.85,30,5725.5,3476.15,2249.35
2025-05-11,卸妆油,美妆,485.15,40,19406.0,8734.59,10671.41
2025-05-11,无线蓝牙耳机,数码,129.29,13,1680.77,1136.87,543.9
2025-05-11,快充充电器,数码,192.58,16,3081.28,1311.84,1769.44
2025-05-11,手机支架,数码,226.48,5,1132.4,635.49,496.91
2025-05-11,USB-C 数据线,数码,258.43,15,3876.45,2666.66,1209.79
2025-05-11,遮光窗帘,家居,309.24,5,1546.2,793.81,752.39
2025-05-11,收纳箱三件套,家居,87.6,37,3241.2,2198.27,1042.93
2025-05-11,香薰蜡烛,家居,87.59,50,4379.5,2668.23,1711.27
2025-05-11,桌布套装,家居,491.24,13,6386.12,4336.67,2049.45
2025-05-12,碎花连衣裙,女装,286.49,50,14324.5,6965.43,7359.07
2025-05-12,高腰阔腿裤,女装,299.88,12,3598.56,2236.72,1361.84
2025-05-12,针织开衫,女装,312.77,12,3753.24,1267.28,2485.96
2025-05-12,牛仔短裙,女装,58.98,45,2654.1,1469.79,1184.31
2025-05-12,雪纺衬衫,女装,207.14,29,6007.06,3373.38,2633.68
2025-05-12,保湿面霜,美妆,91.38,1,91.38,57.81,33.57
2025-05-12,眼线笔,美妆,305.81,50,15290.5,7424.67,7865.83
2025-05-12,卸妆油,美妆,423.58,34,14401.72,5666.48,8735.24
2025-05-12,USB-C 数据线,数码,212.29,36,7642.44,5336.54,2305.9
2025-05-12,屏幕清洁套装,数码,358.29,21,7524.09,4538.5,2985.59
2025-05-12,乳胶枕头,家居,29.43,37,1088.91,660.44,428.47
2025-05-12,遮光窗帘,家居,425.59,25,10639.75,3476.33,7163.42
2025-05-12,香薰蜡烛,家居,118.55,4,474.2,231.41,242.79
2025-05-12,桌布套装,家居,207.75,5,1038.75,546.9,491.85
2025-05-13,碎花连衣裙,女装,333.87,43,14356.41,6315.59,8040.82
2025-05-13,高腰阔腿裤,女装,498.36,31,15449.16,6328.27,9120.89
2025-05-13,针织开衫,女装,349.94,39,13647.66,5337.02,8310.64
2025-05-13,雪纺衬衫,女装,489.35,24,11744.4,4285.61,7458.79
2025-05-13,保湿面霜,美妆,43.53,13,565.89,186.66,379.23
2025-05-13,防晒喷雾,美妆,178.44,26,4639.44,2872.51,1766.93
2025-05-13,眼线笔,美妆,412.53,43,17738.79,8932.73,8806.06
2025-05-13,无线蓝牙耳机,数码,474.16,8,3793.28,2140.72,1652.56
2025-05-13,快充充电器,数码,276.65,40,11066.0,5790.46,5275.54
2025-05-13,手机支架,数码,444.5,36,16002.0,5896.51,10105.49
2025-05-13,USB-C 数据线,数码,209.25,27,5649.75,3204.87,2444.88
2025-05-13,屏幕清洁套装,数码,310.51,35,10867.85,3392.92,7474.93
2025-05-13,乳胶枕头,家居,484.22,43,20821.46,8424.89,12396.57
2025-05-13,遮光窗帘,家居,435.07,25,10876.75,6194.41,4682.34
2025-05-13,桌布套装,家居,263.0,49,12887.0,6443.56,6443.44
2025-05-14,高腰阔腿裤,女装,346.78,12,4161.36,2333.71,1827.65
2025-05-14,针织开衫,女装,436.58,42,18336.36,10884.64,7451.72
2025-05-14,雪纺衬衫,女装,118.75,19,2256.25,703.93,1552.32
2025-05-14,防晒喷雾,美妆,499.03,18,8982.54,5692.71,3289.83
2025-05-14,眼线笔,美妆,445.85,17,7579.45,4779.19,2800.26
2025-05-14,卸妆油,美妆,475.42,17,8082.14,3574.69,4507.45
2025-05-14,快充充电器,数码,281.61,28,7885.08,4481.02,3404.06
2025-05-14,手机支架,数码,324.74,42,13639.08,4732.0,8907.08
2025-05-14,USB-C 数据线,数码,402.16,17,6836.72,3940.47,2896.25
2025-05-14,屏幕清洁套装,数码,377.98,9,3401.82,1619.78,1782.04
2025-05-14,乳胶枕头,家居,274.95,19,5224.05,1990.63,3233.42
2025-05-14,遮光窗帘,家居,137.86,30,4135.8,1673.78,2462.02
2025-05-14,香薰蜡烛,家居,294.94,36,10617.84,4185.33,6432.51
2025-05-15,高腰阔腿裤,女装,331.24,16,5299.84,2164.7,3135.14
2025-05-15,牛仔短裙,女装,334.35,20,6687.0,3254.21,3432.79
2025-05-15,雪纺衬衫,女装,206.0,8,1648.0,668.11,979.89
2025-05-15,保湿面霜,美妆,168.09,17,2857.53,1269.51,1588.02
2025-05-15,防晒喷雾,美妆,265.39,11,2919.29,1519.59,1399.7
2025-05-15,口红套装,美妆,95.0,42,3990.0,1308.62,2681.38
2025-05-15,眼线笔,美妆,28.48,18,512.64,195.71,316.93
2025-05-15,卸妆油,美妆,210.78,29,6112.62,4025.55,2087.07
2025-05-15,快充充电器,数码,444.79,38,16902.02,9053.29,7848.73
2025-05-15,手机支架,数码,102.88,7,720.16,431.23,288.93
2025-05-15,USB-C 数据线,数码,341.04,18,6138.72,2952.97,3185.75
2025-05-15,乳胶枕头,家居,257.73,7,1804.11,628.69,1175.42
2025-05-15,遮光窗帘,家居,150.14,8,1201.12,373.79,827.33
2025-05-15,收纳箱三件套,家居,70.23,34,2387.82,1276.0,1111.82
2025-05-15,香薰蜡烛,家居,487.28,11,5360.08,2754.76,2605.32
2025-05-15,桌布套装,家居,250.16,28,7004.48,3271.63,3732.85
2025-05-16,碎花连衣裙,女装,20.65,48,991.2,311.7,679.5
2025-05-16,高腰阔腿裤,女装,130.89,4,523.56,341.25,182.31
2025-05-16,针织开衫,女装,430.81,24,10339.44,4093.24,6246.2
2025-05-16,牛仔短裙,女装,358.47,18,6452.46,2948.2,3504.26
2025-05-16,雪纺衬衫,女装,468.49,14,6558.86,4262.03,2296.83
2025-05-16,保湿面霜,美妆,123.34,47,5796.98,2924.85,2872.13
2025-05-16,口红套装,美妆,218.64,6,1311.84,635.51,676.33
2025-05-16,眼线笔,美妆,228.06,21,4789.26,3218.8,1570.46
2025-05-16,卸妆油,美妆,211.47,5,1057.35,524.55,532.8
2025-05-16,无线蓝牙耳机,数码,24.09,9,216.81,111.35,105.46
2025-05-16,快充充电器,数码,395.71,47,18598.37,5708.82,12889.55
2025-05-16,手机支架,数码,88.57,7,619.99,407.17,212.82
2025-05-16,USB-C 数据线,数码,50.69,47,2382.43,1515.69,866.74
2025-05-16,屏幕清洁套装,数码,209.71,33,6920.43,2719.36,4201.07
2025-05-16,乳胶枕头,家居,257.53,6,1545.18,608.96,936.22
2025-05-16,遮光窗帘,家居,415.09,21,8716.89,3964.06,4752.83
2025-05-16,收纳箱三件套,家居,437.04,5,2185.2,1317.44,867.76
2025-05-16,香薰蜡烛,家居,147.14,10,1471.4,509.34,962.06
2025-05-16,桌布套装,家居,197.43,17,3356.31,2252.73,1103.58
2025-05-17,碎花连衣裙,女装,248.03,27,6696.81,2616.16,4080.65
2025-05-17,针织开衫,女装,359.84,16,5757.44,3189.61,2567.83
2025-05-17,雪纺衬衫,女装,177.51,10,1775.1,1208.26,566.84
2025-05-17,保湿面霜,美妆,25.76,15,386.4,263.71,122.69
2025-05-17,口红套装,美妆,406.7,43,17488.1,9660.12,7827.98
2025-05-17,眼线笔,美妆,305.36,46,14046.56,5878.35,8168.21
2025-05-17,无线蓝牙耳机,数码,140.24,6,841.44,369.49,471.95
2025-05-17,快充充电器,数码,326.87,37,12094.19,5045.8,7048.39
2025-05-17,USB-C 数据线,数码,418.8,1,418.8,213.32,205.48
2025-05-17,遮光窗帘,家居,238.53,5,1192.65,436.16,756.49
2025-05-17,收纳箱三件套,家居,427.15,29,12387.35,7890.39,4496.96
2025-05-17,香薰蜡烛,家居,460.6,31,14278.6,8275.88,6002.72
2025-05-18,碎花连衣裙,女装,406.25,24,9750.0,4054.54,5695.46
2025-05-18,高腰阔腿裤,女装,356.55,43,15331.65,6306.07,9025.58
2025-05-18,针织开衫,女装,135.72,48,6514.56,3047.68,3466.88
2025-05-18,牛仔短裙,女装,404.15,41,16570.15,10580.56,5989.59
2025-05-18,雪纺衬衫,女装,209.77,36,7551.72,2453.38,5098.34
2025-05-18,保湿面霜,美妆,439.53,10,4395.3,2870.67,1524.63
2025-05-18,防晒喷雾,美妆,403.87,44,17770.28,6823.86,10946.42
2025-05-18,口红套装,美妆,442.99,41,18162.59,5951.36,12211.23
2025-05-18,眼线笔,美妆,261.03,31,8091.93,4499.68,3592.25
2025-05-18,卸妆油,美妆,346.07,27,9343.89,5843.21,3500.68
2025-05-18,无线蓝牙耳机,数码,23.65,24,567.6,300.08,267.52
2025-05-18,快充充电器,数码,373.36,4,1493.44,1021.22,472.22
2025-05-18,手机支架,数码,390.57,26,10154.82,4017.03,6137.79
2025-05-18,USB-C 数据线,数码,479.34,34,16297.56,11130.36,5167.2
2025-05-18,收纳箱三件套,家居,416.89,35,14591.15,7607.71,6983.44
2025-05-18,桌布套装,家居,459.52,21,9649.92,3553.98,6095.94
2025-05-19,高腰阔腿裤,女装,177.26,13,2304.38,1568.74,735.64
2025-05-19,针织开衫,女装,103.74,19,1971.06,952.68,1018.38
2025-05-19,保湿面霜,美妆,172.35,44,7583.4,4587.79,2995.61
2025-05-19,口红套装,美妆,408.37,11,4492.07,1774.18,2717.89
2025-05-19,眼线笔,美妆,294.14,13,3823.82,2386.85,1436.97
2025-05-19,卸妆油,美妆,381.71,32,12214.72,4720.24,7494.48
2025-05-19,手机支架,数码,121.91,47,5729.77,2649.28,3080.49
2025-05-19,USB-C 数据线,数码,293.01,18,5274.18,3323.85,1950.33
2025-05-19,屏幕清洁套装,数码,162.05,8,1296.4,534.8,761.6
2025-05-19,乳胶枕头,家居,257.87,32,8251.84,4733.04,3518.8
2025-05-19,遮光窗帘,家居,92.73,14,1298.22,725.57,572.65
2025-05-19,收纳箱三件套,家居,78.71,33,2597.43,1278.29,1319.14
2025-05-19,桌布套装,家居,300.36,35,10512.6,6703.08,3809.52
2025-05-20,碎花连衣裙,女装,395.68,34,13453.12,4685.39,8767.73
2025-05-20,针织开衫,女装,271.66,38,10323.08,3709.12,6613.96
2025-05-20,保湿面霜,美妆,144.94,7,1014.58,618.2,396.38
2025-05-20,防晒喷雾,美妆,26.09,40,1043.6,397.25,646.35
2025-05-20,卸妆油,美妆,203.45,47,9562.15,3150.54,6411.61
2025-05-20,手机支架,数码,220.24,26,5726.24,2726.38,2999.86
2025-05-20,USB-C 数据线,数码,291.81,33,9629.73,6100.65,3529.08
2025-05-20,屏幕清洁套装,数码,477.65,15,7164.75,4369.62,2795.13
2025-05-20,乳胶枕头,家居,67.24,14,941.36,429.37,511.99
2025-05-20,收纳箱三件套,家居,65.75,46,3024.5,1461.52,1562.98
2025-05-20,香薰蜡烛,家居,454.37,39,17720.43,6165.28,11555.15
2025-05-20,桌布套装,家居,257.53,24,6180.72,2913.1,3267.62
2025-05-21,碎花连衣裙,女装,347.83,50,17391.5,11339.01,6052.49
2025-05-21,针织开衫,女装,426.93,7,2988.51,1939.1,1049.41
2025-05-21,牛仔短裙,女装,97.15,27,2623.05,1213.68,1409.37
2025-05-21,防晒喷雾,美妆,296.62,27,8008.74,3071.04,4937.7
2025-05-21,口红套装,美妆,455.69,22,10025.18,4325.83,5699.35
2025-05-21,卸妆油,美妆,423.2,26,11003.2,3659.51,7343.69
2025-05-21,无线蓝牙耳机,数码,32.02,7,224.14,74.75,149.39
2025-05-21,手机支架,数码,162.96,17,2770.32,1012.11,1758.21
2025-05-21,乳胶枕头,家居,431.67,15,6475.05,3429.01,3046.04
2025-05-21,收纳箱三件套,家居,314.57,18,5662.26,2008.68,3653.58
2025-05-21,香薰蜡烛,家居,305.87,29,8870.23,5877.43,2992.8
2025-05-21,桌布套装,家居,147.79,28,4138.12,1500.86,2637.26
2025-05-22,高腰阔腿裤,女装,322.97,31,10012.07,6380.81,3631.26
2025-05-22,针织开衫,女装,245.2,33,8091.6,3021.67,5069.93
2025-05-22,牛仔短裙,女装,397.38,1,397.38,178.19,219.19
2025-05-22,雪纺衬衫,女装,48.59,49,2380.91,935.46,1445.45
2025-05-22,口红套装,美妆,373.26,27,10078.02,5506.19,4571.83
2025-05-22,卸妆油,美妆,256.31,8,2050.48,1147.3,903.18
2025-05-22,无线蓝牙耳机,数码,26.26,48,1260.48,790.33,470.15
2025-05-22,手机支架,数码,234.77,36,8451.72,4998.21,3453.51
2025-05-22,USB-C 数据线,数码,88.28,43,3796.04,1195.21,2600.83
2025-05-22,屏幕清洁套装,数码,128.91,50,6445.5,2442.53,4002.97
2025-05-22,乳胶枕头,家居,404.41,43,17389.63,10467.11,6922.52
2025-05-22,遮光窗帘,家居,296.67,47,13943.49,4578.63,9364.86
2025-05-22,收纳箱三件套,家居,286.09,25,7152.25,2720.94,4431.31
2025-05-22,香薰蜡烛,家居,445.47,27,12027.69,5013.08,7014.61
2025-05-22,桌布套装,家居,258.2,21,5422.2,3784.35,1637.85
2025-05-23,碎花连衣裙,女装,83.08,2,166.16,90.6,75.56
2025-05-23,高腰阔腿裤,女装,355.45,48,17061.6,9564.2,7497.4
2025-05-23,针织开衫,女装,446.43,15,6696.45,2730.19,3966.26
2025-05-23,雪纺衬衫,女装,101.88,36,3667.68,2105.63,1562.05
2025-05-23,保湿面霜,美妆,358.44,4,1433.76,761.12,672.64
2025-05-23,眼线笔,美妆,102.56,8,820.48,437.42,383.06
2025-05-23,卸妆油,美妆,390.37,37,14443.69,4686.53,9757.16
2025-05-23,无线蓝牙耳机,数码,177.38,12,2128.56,1453.14,675.42
2025-05-23,快充充电器,数码,393.84,42,16541.28,8371.82,8169.46
2025-05-23,屏幕清洁套装,数码,224.48,22,4938.56,2532.13,2406.43
2025-05-23,遮光窗帘,家居,260.55,34,8858.7,5783.8,3074.9
2025-05-23,收纳箱三件套,家居,463.37,12,5560.44,2351.64,3208.8
2025-05-23,香薰蜡烛,家居,297.56,20,5951.2,3155.4,2795.8
2025-05-23,桌布套装,家居,270.66,49,13262.34,7550.19,5712.15
2025-05-24,碎花连衣裙,女装,475.07,6,2850.42,874.6,1975.82
2025-05-24,高腰阔腿裤,女装,198.9,23,4574.7,1610.85,2963.85
2025-05-24,牛仔短裙,女装,122.2,30,3666.0,2421.99,1244.01
2025-05-24,保湿面霜,美妆,256.65,2,513.3,259.24,254.06
2025-05-24,防晒喷雾,美妆,189.11,4,756.44,289.15,467.29
2025-05-24,眼线笔,美妆,98.39,14,1377.46,948.1,429.36
2025-05-24,卸妆油,美妆,383.5,24,9204.0,6327.06,2876.94
2025-05-24,快充充电器,数码,292.9,31,9079.9,3369.12,5710.78
2025-05-24,手机支架,数码,398.87,44,17550.28,9774.65,7775.63
2025-05-24,乳胶枕头,家居,410.7,13,5339.1,2845.31,2493.79
2025-05-24,收纳箱三件套,家居,290.48,37,10747.76,4430.57,6317.19
2025-05-24,香薰蜡烛,家居,67.89,19,1289.91,666.71,623.2
2025-05-24,桌布套装,家居,235.54,14,3297.56,1330.13,1967.43
2025-05-25,碎花连衣裙,女装,422.3,12,5067.6,1962.72,3104.88
2025-05-25,牛仔短裙,女装,357.35,10,3573.5,2224.69,1348.81
2025-05-25,保湿面霜,美妆,21.17,30,635.1,410.47,224.63
2025-05-25,防晒喷雾,美妆,71.06,34,2416.04,887.8,1528.24
2025-05-25,口红套装,美妆,424.93,44,18696.92,7887.12,10809.8
2025-05-25,眼线笔,美妆,56.28,49,2757.72,1107.4,1650.32
2025-05-25,卸妆油,美妆,345.38,20,6907.6,2278.12,4629.48
2025-05-25,无线蓝牙耳机,数码,335.47,3,1006.41,674.15,332.26
2025-05-25,快充充电器,数码,448.97,5,2244.85,952.52,1292.33
2025-05-25,USB-C 数据线,数码,89.17,32,2853.44,1837.3,1016.14
2025-05-25,乳胶枕头,家居,463.46,6,2780.76,1475.33,1305.43
2025-05-25,遮光窗帘,家居,331.62,21,6964.02,3425.05,3538.97
2025-05-25,收纳箱三件套,家居,487.27,9,4385.43,2150.32,2235.11
2025-05-25,桌布套装,家居,124.48,16,1991.68,664.85,1326.83
2025-05-26,碎花连衣裙,女装,464.49,1,464.49,179.12,285.37
2025-05-26,高腰阔腿裤,女装,323.68,3,971.04,624.59,346.45
2025-05-26,针织开衫,女装,31.84,37,1178.08,553.26,624.82
2025-05-26,牛仔短裙,女装,75.33,44,3314.52,1960.84,1353.68
2025-05-26,保湿面霜,美妆,473.44,21,9942.24,6262.87,3679.37
2025-05-26,口红套装,美妆,242.66,7,1698.62,1109.75,588.87
2025-05-26,眼线笔,美妆,343.86,39,13410.54,7149.3,6261.24
2025-05-26,卸妆油,美妆,106.86,11,1175.46,643.51,531.95
2025-05-26,快充充电器,数码,48.64,41,1994.24,699.64,1294.6
2025-05-26,手机支架,数码,34.66,12,415.92,137.64,278.28
2025-05-26,USB-C 数据线,数码,389.53,36,14023.08,6713.74,7309.34
2025-05-26,屏幕清洁套装,数码,311.5,42,13083.0,6451.17,6631.83
2025-05-26,遮光窗帘,家居,152.18,4,608.72,422.98,185.74
2025-05-26,收纳箱三件套,家居,197.75,30,5932.5,1823.56,4108.94
2025-05-26,香薰蜡烛,家居,223.16,37,8256.92,3634.55,4622.37
